total_lag,max_lag,min_lag,mean_lag,std_lag,lag_cv,total_throughput,throughput_cv,throughput_std,mean_commit_gap,max_commit_gap,max_partition_share,active_ratio,num_partitions,label
3,3,3,3.0,0.0,0.0,9.97989769799673,0.0,0.0,3.0,3,0.9999999998997986,1.0,1,commit_failure
3,3,3,3.0,0.0,0.0,9.979714856384252,0.0,0.0,3.0,3,0.9999999998997967,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.980489010895528,0.0,0.0,4.0,4,0.9999999998998045,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.980094794510965,0.0,0.0,4.0,4,0.9999999998998006,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.979903634525014,0.0,0.0,4.0,4,0.9999999998997986,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.980035427271718,0.0,0.0,4.0,4,0.9999999998997999,1.0,1,commit_failure
4,4,4,4.0,0.0,0.0,9.980107855398385,0.0,0.0,4.0,4,0.9999999998998007,1.0,1,commit_failure
60117,60117,60117,60117.0,0.0,0.0,0.0,0.0,0.0,60117.0,60117,0.0,0.0,1,high_throughput
27236,27236,27236,27236.0,0.0,0.0,10949.378001411573,0.0,0.0,27236.0,27236,0.9999999999999086,1.0,1,high_throughput
7129,7129,7129,7129.0,0.0,0.0,13972.28232025012,0.0,0.0,7129.0,7129,0.9999999999999284,1.0,1,high_throughput
5181,5181,5181,5181.0,0.0,0.0,14253.561210872367,0.0,0.0,5181.0,5181,0.9999999999999298,1.0,1,high_throughput
4866,4866,4866,4866.0,0.0,0.0,14229.673999128694,0.0,0.0,4866.0,4866,0.9999999999999297,1.0,1,high_throughput
4679,4679,4679,4679.0,0.0,0.0,13629.127653164502,0.0,0.0,4679.0,4679,0.9999999999999266,1.0,1,high_throughput
5122,5122,5122,5122.0,0.0,0.0,14133.158231286205,0.0,0.0,5122.0,5122,0.9999999999999292,1.0,1,high_throughput
5265,5265,5265,5265.0,0.0,0.0,14459.14069549267,0.0,0.0,5265.0,5265,0.9999999999999308,1.0,1,high_throughput
4620,4620,4620,4620.0,0.0,0.0,13644.01498302091,0.0,0.0,4620.0,4620,0.9999999999999267,1.0,1,high_throughput
4293,4293,4293,4293.0,0.0,0.0,14059.778031273216,0.0,0.0,4293.0,4293,0.9999999999999288,1.0,1,high_throughput
5012,5012,5012,5012.0,0.0,0.0,14140.884526483342,0.0,0.0,5012.0,5012,0.9999999999999293,1.0,1,high_throughput
5212,5212,5212,5212.0,0.0,0.0,13973.969787133485,0.0,0.0,5212.0,5212,0.9999999999999284,1.0,1,high_throughput
4610,4610,4610,4610.0,0.0,0.0,14164.202353091781,0.0,0.0,4610.0,4610,0.9999999999999294,1.0,1,high_throughput
5484,5484,5484,5484.0,0.0,0.0,14364.7879182071,0.0,0.0,5484.0,5484,0.9999999999999304,1.0,1,high_throughput
4802,4802,4802,4802.0,0.0,0.0,14080.131966785117,0.0,0.0,4802.0,4802,0.999999999999929,1.0,1,high_throughput
4257,4257,4257,4257.0,0.0,0.0,13907.289786337504,0.0,0.0,4257.0,4257,0.9999999999999281,1.0,1,high_throughput
4375,4375,4375,4375.0,0.0,0.0,14149.218793926506,0.0,0.0,4375.0,4375,0.9999999999999293,1.0,1,high_throughput
4707,4707,4707,4707.0,0.0,0.0,13952.596828889673,0.0,0.0,4707.0,4707,0.9999999999999283,1.0,1,high_throughput
4190,4190,4190,4190.0,0.0,0.0,13531.205658561168,0.0,0.0,4190.0,4190,0.9999999999999261,1.0,1,high_throughput
4227,4227,4227,4227.0,0.0,0.0,13478.31846280178,0.0,0.0,4227.0,4227,0.9999999999999257,1.0,1,high_throughput
4600,4600,4600,4600.0,0.0,0.0,13722.512795626531,0.0,0.0,4600.0,4600,0.9999999999999271,1.0,1,high_throughput
4034,4034,4034,4034.0,0.0,0.0,13922.176366106989,0.0,0.0,4034.0,4034,0.9999999999999282,1.0,1,high_throughput
3857,3857,3857,3857.0,0.0,0.0,13513.967579842834,0.0,0.0,3857.0,3857,0.999999999999926,1.0,1,high_throughput
3987,3987,3987,3987.0,0.0,0.0,13981.026640517439,0.0,0.0,3987.0,3987,0.9999999999999284,1.0,1,high_throughput
4200,4200,4200,4200.0,0.0,0.0,14370.83213473249,0.0,0.0,4200.0,4200,0.9999999999999304,1.0,1,high_throughput
3599,3599,3599,3599.0,0.0,0.0,13755.834687538889,0.0,0.0,3599.0,3599,0.9999999999999273,1.0,1,high_throughput
4649,4649,4649,4649.0,0.0,0.0,14063.914446971932,0.0,0.0,4649.0,4649,0.9999999999999288,1.0,1,high_throughput
3908,3908,3908,3908.0,0.0,0.0,13643.498664983963,0.0,0.0,3908.0,3908,0.9999999999999267,1.0,1,high_throughput
4700,4700,4700,4700.0,0.0,0.0,14724.48821207171,0.0,0.0,4700.0,4700,0.999999999999932,1.0,1,high_throughput
4529,4529,4529,4529.0,0.0,0.0,14128.062551783445,0.0,0.0,4529.0,4529,0.9999999999999292,1.0,1,high_throughput
4590,4590,4590,4590.0,0.0,0.0,13961.5904933235,0.0,0.0,4590.0,4590,0.9999999999999284,1.0,1,high_throughput
4012,4012,4012,4012.0,0.0,0.0,13782.80002574515,0.0,0.0,4012.0,4012,0.9999999999999274,1.0,1,high_throughput
3912,3912,3912,3912.0,0.0,0.0,14554.029379061274,0.0,0.0,3912.0,3912,0.9999999999999313,1.0,1,high_throughput
4201,4201,4201,4201.0,0.0,0.0,14931.161040314179,0.0,0.0,4201.0,4201,0.9999999999999329,1.0,1,high_throughput
6146,6146,6146,6146.0,0.0,0.0,14001.915937978369,0.0,0.0,6146.0,6146,0.9999999999999285,1.0,1,high_throughput
4820,4820,4820,4820.0,0.0,0.0,13940.50136577956,0.0,0.0,4820.0,4820,0.9999999999999283,1.0,1,high_throughput
6607,6607,6607,6607.0,0.0,0.0,14665.107227347684,0.0,0.0,6607.0,6607,0.9999999999999318,1.0,1,high_throughput
4699,4699,4699,4699.0,0.0,0.0,13543.386096753675,0.0,0.0,4699.0,4699,0.9999999999999262,1.0,1,high_throughput
4353,4353,4353,4353.0,0.0,0.0,14262.931877204312,0.0,0.0,4353.0,4353,0.9999999999999298,1.0,1,high_throughput
3582,3582,3582,3582.0,0.0,0.0,13820.338542739808,0.0,0.0,3582.0,3582,0.9999999999999276,1.0,1,high_throughput
